num.ridges.lens,ratio.ridges.size,num.ridges.lens.per.micron,size.area,ame.entire.eye.micron,area.eye,est.ridges,ame.ridges.micron,ratio.ridge.size.to.eye.size,ame.eye.ridge.trough.micron,ame.outer.edge.to.outer.edge
35,0.024138,7,19.63495408,290,66051.99,2030,0.11,0.000379,0.12,0.243
28,0.125095,14,3.141592654,223.83,39348.35,3133.62,0.128,0.000572,0.111,0.31
4,0.015686,10,0.125663706,254.998,51069.71,2549.98,0.114,0.000447,0.074,0.28
19,0.074625,9.5,3.141592654,254.608,50913.62,2418.776,0.092,0.000361,0.06,0.253
15,0.028593,7.5,3.141592654,524.609,216153,3934.568,0.151,0.000288,0.038,0.363
12,0.026782,6,3.141592654,448.067,157679.7,2688.402,0.213,0.000475,0.072,0.42
15,0.047278,7.5,3.141592654,317.274,79060.37,2379.555,0.147,0.000463,0.043,0.391
18,0.088265,9,3.141592654,203.931,32663.02,1835.379,0.252,0.001236,0.57,0.347
12,0.081989,6,3.141592654,146.361,16824.44,878.166,0.311,0.002125,0.107,0.4
13,0.080942,6.5,3.141592654,160.609,20259.54,1043.959,0.209,0.001301,0.122,0.57
13,0.056704,6.5,3.141592654,229.261,41281,1490.197,0.417,0.001819,1.09,0.374
11,0.030963,5.5,3.141592654,355.265,99127.63,1953.958,0.157,0.000442,0.04,0.332
14,0.033151,7,3.141592654,422.304,140068.4,2956.128,0.167,0.000395,0.118,0.333
17,0.038697,8.5,3.141592654,439.305,151573.1,3734.093,0.112,0.000255,0.059,0.299
28,0.310425,7,12.56637061,90.199,6389.889,631.393,0.09,0.000998,0.064,0.34
8,0.121335,8,0.785398163,65.933,3414.252,527.464,0.119,0.001805,0.054,0.263
7,0.08986,7,0.785398163,77.899,4765.996,545.293,0.134,0.00172,0.05,0.318
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
